model_name,model_version,organization_id,blood_group,component_type,forecast_horizon,mae,rmse,wape,bias,trained_at
xgboost,v1,HOSP_B,AB_NEGATIVE,PLASMA,24h,0.7008,0.8407,0.7228,-0.0184,2026-09-05T14:50:54.540369
seasonal_naive,v1,HOSP_B,AB_NEGATIVE,PLATELETS,24h,0.8537,1.1894,1.3462,0.0,2026-09-05T14:50:54.561647
xgboost,v1,HOSP_B,AB_NEGATIVE,PLATELETS,24h,0.6234,0.7379,0.983,0.0899,2026-09-05T14:50:54.561647
seasonal_naive,v1,HOSP_B,AB_NEGATIVE,RBC,24h,1.3354,1.6983,1.0788,-0.0305,2026-09-05T14:50:54.583140
xgboost,v1,HOSP_B,AB_NEGATIVE,RBC,24h,0.7163,0.8981,0.5787,-0.0445,2026-09-05T14:50:54.583140
seasonal_naive,v1,HOSP_B,AB_NEGATIVE,WHOLE_BLOOD,24h,1.0122,1.3615,1.1448,-0.0122,2026-09-05T14:50:54.602923
xgboost,v1,HOSP_B,AB_NEGATIVE,WHOLE_BLOOD,24h,0.6243,0.7801,0.7061,-0.0257,2026-09-05T14:50:54.602923
seasonal_naive,v1,HOSP_B,AB_POSITIVE,PLASMA,24h,1.1829,1.6192,0.951,-0.0366,2026-09-05T14:50:54.627101
xgboost,v1,HOSP_B,AB_POSITIVE,PLASMA,24h,0.739,0.9451,0.5941,-0.0583,2026-09-05T14:50:54.627101
seasonal_naive,v1,HOSP_B,AB_POSITIVE,PLATELETS,24h,1.2744,1.6249,0.95,0.0061,2026-09-05T14:50:54.690919
xgboost,v1,HOSP_B,AB_POSITIVE,PLATELETS,24h,0.8338,1.0278,0.6216,-0.1525,2026-09-05T14:50:54.690919
seasonal_naive,v1,HOSP_B,AB_POSITIVE,RBC,24h,1.3963,1.7338,0.8035,-0.0305,2026-09-05T14:50:54.740754
xgboost,v1,HOSP_B,AB_POSITIVE,RBC,24h,0.8031,1.0055,0.4622,-0.1246,2026-09-05T14:50:54.740754
seasonal_naive,v1,HOSP_B,AB_POSITIVE,WHOLE_BLOOD,24h,1.1463,1.4857,1.0217,-0.0732,2026-09-05T14:50:54.759786
xgboost,v1,HOSP_B,AB_POSITIVE,WHOLE_BLOOD,24h,0.7249,0.9187,0.6461,-0.0839,2026-09-05T14:50:54.759786
seasonal_naive,v1,HOSP_B,A_NEGATIVE,PLASMA,24h,1.1037,1.442,1.1908,-0.0061,2026-09-05T14:50:54.785129
xgboost,v1,HOSP_B,A_NEGATIVE,PLASMA,24h,0.7203,0.8525,0.7772,0.1145,2026-09-05T14:50:54.785129
seasonal_naive,v1,HOSP_B,A_NEGATIVE,PLATELETS,24h,1.2073,1.623,1.125,-0.0122,2026-09-05T14:50:54.804368
xgboost,v1,HOSP_B,A_NEGATIVE,PLATELETS,24h,0.8064,0.9996,0.7514,0.0081,2026-09-05T14:50:54.804368
seasonal_naive,v1,HOSP_B,A_NEGATIVE,RBC,24h,1.3415,1.7635,0.7074,-0.0244,2026-09-05T14:50:54.827410
xgboost,v1,HOSP_B,A_NEGATIVE,RBC,24h,0.8119,1.0428,0.4281,-0.0815,2026-09-05T14:50:54.827410
seasonal_naive,v1,HOSP_B,A_NEGATIVE,WHOLE_BLOOD,24h,1.1037,1.4504,0.8786,0.0793,2026-09-05T14:50:54.851094
xgboost,v1,HOSP_B,A_NEGATIVE,WHOLE_BLOOD,24h,0.7535,0.9419,0.5999,-0.0565,2026-09-05T14:50:54.851094
seasonal_naive,v1,HOSP_B,A_POSITIVE,PLASMA,24h,1.5732,2.003,0.4069,0.061,2026-09-05T14:50:54.877102
xgboost,v1,HOSP_B,A_POSITIVE,PLASMA,24h,0.8305,1.0596,0.2148,0.0036,2026-09-05T14:50:54.877102
seasonal_naive,v1,HOSP_B,A_POSITIVE,PLATELETS,24h,1.6341,1.9537,0.5403,0.0244,2026-09-05T14:50:54.899633
xgboost,v1,HOSP_B,A_POSITIVE,PLATELETS,24h,0.8197,1.0192,0.271,-0.0055,2026-09-05T14:50:54.899633
seasonal_naive,v1,HOSP_B,A_POSITIVE,RBC,24h,1.5061,1.9646,0.2077,-0.1037,2026-09-05T14:50:55.034911
xgboost,v1,HOSP_B,A_POSITIVE,RBC,24h,0.8723,1.0672,0.1203,-0.0773,2026-09-05T14:50:55.034911
seasonal_naive,v1,HOSP_B,A_POSITIVE,WHOLE_BLOOD,24h,1.5244,1.96,0.5342,-0.0488,2026-09-05T14:50:55.060855
xgboost,v1,HOSP_B,A_POSITIVE,WHOLE_BLOOD,24h,0.8197,1.0466,0.2873,-0.066,2026-09-05T14:50:55.060855
seasonal_naive,v1,HOSP_B,B_NEGATIVE,PLASMA,24h,1.1402,1.5162,1.3262,-0.0183,2026-09-05T14:50:55.085057
xgboost,v1,HOSP_B,B_NEGATIVE,PLASMA,24h,0.7456,0.9016,0.8673,0.054,2026-09-05T14:50:55.085057
seasonal_naive,v1,HOSP_B,B_NEGATIVE,PLATELETS,24h,0.8354,1.1608,1.1322,-0.0061,2026-09-05T14:50:55.106782
xgboost,v1,HOSP_B,B_NEGATIVE,PLATELETS,24h,0.6723,0.7842,0.9112,0.0575,2026-09-05T14:50:55.106782
seasonal_naive,v1,HOSP_B,B_NEGATIVE,RBC,24h,0.9817,1.2996,0.8994,-0.1037,2026-09-05T14:50:55.136470
xgboost,v1,HOSP_B,B_NEGATIVE,RBC,24h,0.7332,0.9029,0.6717,0.0443,2026-09-05T14:50:55.136470
seasonal_naive,v1,HOSP_B,B_NEGATIVE,WHOLE_BLOOD,24h,0.9939,1.3229,1.1241,0.0549,2026-09-05T14:50:55.257561
xgboost,v1,HOSP_B,B_NEGATIVE,WHOLE_BLOOD,24h,0.7179,0.8604,0.812,-0.0046,2026-09-05T14:50:55.257561
seasonal_naive,v1,HOSP_B,B_POSITIVE,PLASMA,24h,1.3537,1.7807,0.6647,-0.0122,2026-09-05T14:50:55.283821
xgboost,v1,HOSP_B,B_POSITIVE,PLASMA,24h,0.8004,1.0007,0.393,-0.0252,2026-09-05T14:50:55.283821
seasonal_naive,v1,HOSP_B,B_POSITIVE,PLATELETS,24h,1.1402,1.5322,0.7057,-0.0915,2026-09-05T14:50:55.401502
xgboost,v1,HOSP_B,B_POSITIVE,PLATELETS,24h,0.7904,0.9635,0.4892,-0.0287,2026-09-05T14:50:55.401502
seasonal_naive,v1,HOSP_B,B_POSITIVE,RBC,24h,1.5793,2.0675,0.501,-0.0061,2026-09-05T14:50:55.426102
xgboost,v1,HOSP_B,B_POSITIVE,RBC,24h,0.8617,1.0953,0.2733,-0.0298,2026-09-05T14:50:55.426102
seasonal_naive,v1,HOSP_B,B_POSITIVE,WHOLE_BLOOD,24h,1.4756,1.8676,0.7781,-0.0244,2026-09-05T14:50:55.448558
xgboost,v1,HOSP_B,B_POSITIVE,WHOLE_BLOOD,24h,0.8786,1.0962,0.4633,-0.1249,2026-09-05T14:50:55.448558
seasonal_naive,v1,HOSP_B,O_NEGATIVE,PLASMA,24h,1.311,1.6098,0.8921,0.0061,2026-09-05T14:50:55.474364
xgboost,v1,HOSP_B,O_NEGATIVE,PLASMA,24h,0.7503,0.9183,0.5106,-0.0561,2026-09-05T14:50:55.474364
seasonal_naive,v1,HOSP_B,O_NEGATIVE,PLATELETS,24h,1.0732,1.4775,1.1069,-0.0122,2026-09-05T14:50:55.495619
xgboost,v1,HOSP_B,O_NEGATIVE,PLATELETS,24h,0.802,0.9476,0.8272,0.1156,2026-09-05T14:50:55.495619
seasonal_naive,v1,HOSP_B,O_NEGATIVE,RBC,24h,1.3049,1.6417,0.6426,0.0976,2026-09-05T14:50:55.519815
xgboost,v1,HOSP_B,O_NEGATIVE,RBC,24h,0.8341,1.0282,0.4108,-0.0079,2026-09-05T14:50:55.519815
seasonal_naive,v1,HOSP_B,O_NEGATIVE,WHOLE_BLOOD,24h,1.2378,1.5946,1.2531,-0.0061,2026-09-05T14:50:55.576222
xgboost,v1,HOSP_B,O_NEGATIVE,WHOLE_BLOOD,24h,0.694,0.835,0.7026,0.0728,2026-09-05T14:50:55.576222
seasonal_naive,v1,HOSP_B,O_POSITIVE,PLASMA,24h,1.5671,2.0556,0.3249,0.0915,2026-09-05T14:50:55.650305
xgboost,v1,HOSP_B,O_POSITIVE,PLASMA,24h,0.9271,1.1326,0.1922,0.0481,2026-09-05T14:50:55.650305
seasonal_naive,v1,HOSP_B,O_POSITIVE,PLATELETS,24h,1.6037,2.1285,0.3346,-0.0915,2026-09-05T14:50:55.677389
xgboost,v1,HOSP_B,O_POSITIVE,PLATELETS,24h,0.9104,1.121,0.19,-0.1357,2026-09-05T14:50:55.677389
seasonal_naive,v1,HOSP_B,O_POSITIVE,RBC,24h,1.4451,1.8528,0.1467,0.1646,2026-09-05T14:50:55.702653
xgboost,v1,HOSP_B,O_POSITIVE,RBC,24h,0.7749,0.9825,0.0786,0.0264,2026-09-05T14:50:55.702653
seasonal_naive,v1,HOSP_B,O_POSITIVE,WHOLE_BLOOD,24h,1.4268,1.8643,0.3645,-0.0488,2026-09-05T14:50:55.722831
xgboost,v1,HOSP_B,O_POSITIVE,WHOLE_BLOOD,24h,0.769,0.9501,0.1964,-0.1401,2026-09-05T14:50:55.722831
seasonal_naive,v1,HOSP_C,AB_NEGATIVE,PLASMA,24h,0.878,1.1894,1.4118,-0.0122,2026-09-05T14:50:55.745475
xgboost,v1,HOSP_C,AB_NEGATIVE,PLASMA,24h,0.6375,0.7667,1.025,0.1234,2026-09-05T14:50:55.745475
seasonal_naive,v1,HOSP_C,AB_NEGATIVE,PLATELETS,24h,1.128,1.5519,1.0109,-0.0183,2026-09-05T14:50:55.865455
xgboost,v1,HOSP_C,AB_NEGATIVE,PLATELETS,24h,0.786,0.9628,0.7044,-0.1626,2026-09-05T14:50:55.865455
seasonal_naive,v1,HOSP_C,AB_NEGATIVE,RBC,24h,1.1524,1.5041,1.0,0.0549,2026-09-05T14:50:55.890179
xgboost,v1,HOSP_C,AB_NEGATIVE,RBC,24h,0.7387,0.9195,0.641,-0.0551,2026-09-05T14:50:55.890179
seasonal_naive,v1,HOSP_C,AB_NEGATIVE,WHOLE_BLOOD,24h,0.9329,1.2902,1.1953,0.0793,2026-09-05T14:50:55.913237
xgboost,v1,HOSP_C,AB_NEGATIVE,WHOLE_BLOOD,24h,0.6099,0.7815,0.7815,0.0205,2026-09-05T14:50:55.913237
seasonal_naive,v1,HOSP_C,AB_POSITIVE,PLASMA,24h,1.0366,1.3525,1.0303,-0.0366,2026-09-05T14:50:55.934428
xgboost,v1,HOSP_C,AB_POSITIVE,PLASMA,24h,0.6564,0.8108,0.6524,-0.0112,2026-09-05T14:50:55.934932
seasonal_naive,v1,HOSP_C,AB_POSITIVE,PLATELETS,24h,1.0366,1.3615,1.2143,0.0366,2026-09-05T14:50:55.954468
xgboost,v1,HOSP_C,AB_POSITIVE,PLATELETS,24h,0.7056,0.8455,0.8265,0.0279,2026-09-05T14:50:55.954468
seasonal_naive,v1,HOSP_C,AB_POSITIVE,RBC,24h,1.2866,1.6802,0.8719,0.0427,2026-09-05T14:50:55.972673
xgboost,v1,HOSP_C,AB_POSITIVE,RBC,24h,0.712,0.8927,0.4825,-0.0645,2026-09-05T14:50:55.972673
seasonal_naive,v1,HOSP_C,AB_POSITIVE,WHOLE_BLOOD,24h,1.0915,1.463,1.0468,0.0915,2026-09-05T14:50:55.993259
xgboost,v1,HOSP_C,AB_POSITIVE,WHOLE_BLOOD,24h,0.7055,0.8449,0.6766,-0.0465,2026-09-05T14:50:55.993259
seasonal_naive,v1,HOSP_C,A_NEGATIVE,PLASMA,24h,1.0183,1.3903,1.0309,-0.0427,2026-09-05T14:50:56.014839
xgboost,v1,HOSP_C,A_NEGATIVE,PLASMA,24h,0.7013,0.8361,0.71,0.0505,2026-09-05T14:50:56.014839
seasonal_naive,v1,HOSP_C,A_NEGATIVE,PLATELETS,24h,1.0366,1.4099,1.0897,-0.0122,2026-09-05T14:50:56.066533
xgboost,v1,HOSP_C,A_NEGATIVE,PLATELETS,24h,0.6823,0.8417,0.7173,0.0314,2026-09-05T14:50:56.066533
seasonal_naive,v1,HOSP_C,A_NEGATIVE,RBC,24h,1.3049,1.6417,0.8954,-0.0854,2026-09-05T14:50:56.120672
xgboost,v1,HOSP_C,A_NEGATIVE,RBC,24h,0.7795,0.9713,0.5349,-0.0109,2026-09-05T14:50:56.121271
seasonal_naive,v1,HOSP_C,A_NEGATIVE,WHOLE_BLOOD,24h,1.2012,1.548,0.8834,0.0549,2026-09-05T14:50:56.155392
xgboost,v1,HOSP_C,A_NEGATIVE,WHOLE_BLOOD,24h,0.7573,0.975,0.5569,-0.1233,2026-09-05T14:50:56.155392
seasonal_naive,v1,HOSP_C,A_POSITIVE,PLASMA,24h,1.3415,1.6857,0.449,-0.0488,2026-09-05T14:50:56.180916
xgboost,v1,HOSP_C,A_POSITIVE,PLASMA,24h,0.7993,1.0025,0.2675,-0.0167,2026-09-05T14:50:56.180916
seasonal_naive,v1,HOSP_C,A_POSITIVE,PLATELETS,24h,1.372,1.7755,0.4737,0.0915,2026-09-05T14:50:56.203421
xgboost,v1,HOSP_C,A_POSITIVE,PLATELETS,24h,0.8139,0.9841,0.281,-0.0384,2026-09-05T14:50:56.203421
seasonal_naive,v1,HOSP_C,A_POSITIVE,RBC,24h,1.5488,1.9506,0.2532,0.0,2026-09-05T14:50:56.227639
xgboost,v1,HOSP_C,A_POSITIVE,RBC,24h,0.9009,1.1154,0.1473,-0.0483,2026-09-05T14:50:56.227639
seasonal_naive,v1,HOSP_C,A_POSITIVE,WHOLE_BLOOD,24h,1.3659,1.7909,0.6455,0.0244,2026-09-05T14:50:56.250131
xgboost,v1,HOSP_C,A_POSITIVE,WHOLE_BLOOD,24h,0.755,0.9418,0.3568,0.0166,2026-09-05T14:50:56.250131
seasonal_naive,v1,HOSP_C,B_NEGATIVE,PLASMA,24h,1.1524,1.5081,0.875,-0.0183,2026-09-05T14:50:56.267558
xgboost,v1,HOSP_C,B_NEGATIVE,PLASMA,24h,0.7404,0.9382,0.5621,-0.1636,2026-09-05T14:50:56.267558
seasonal_naive,v1,HOSP_C,B_NEGATIVE,PLATELETS,24h,1.1768,1.5753,1.2215,-0.0549,2026-09-05T14:50:56.381042
xgboost,v1,HOSP_C,B_NEGATIVE,PLATELETS,24h,0.6943,0.8452,0.7207,-0.051,2026-09-05T14:50:56.381042
seasonal_naive,v1,HOSP_C,B_NEGATIVE,RBC,24h,1.311,1.7443,1.2079,0.0183,2026-09-05T14:50:56.416195
xgboost,v1,HOSP_C,B_NEGATIVE,RBC,24h,0.7017,0.8617,0.6465,0.0467,2026-09-05T14:50:56.416195
seasonal_naive,v1,HOSP_C,B_NEGATIVE,WHOLE_BLOOD,24h,0.8415,1.1996,1.3143,0.0,2026-09-05T14:50:56.442549
xgboost,v1,HOSP_C,B_NEGATIVE,WHOLE_BLOOD,24h,0.6507,0.7812,1.0164,0.1268,2026-09-05T14:50:56.442549
seasonal_naive,v1,HOSP_C,B_POSITIVE,PLASMA,24h,1.3963,1.8196,0.845,0.0427,2026-09-05T14:50:56.466108
xgboost,v1,HOSP_C,B_POSITIVE,PLASMA,24h,0.8473,1.021,0.5128,0.0166,2026-09-05T14:50:56.466108
seasonal_naive,v1,HOSP_C,B_POSITIVE,PLATELETS,24h,1.3902,1.76,0.9744,-0.0244,2026-09-05T14:50:56.489797
xgboost,v1,HOSP_C,B_POSITIVE,PLATELETS,24h,0.8347,1.0209,0.585,0.0042,2026-09-05T14:50:56.489797
seasonal_naive,v1,HOSP_C,B_POSITIVE,RBC,24h,1.3902,1.7461,0.5194,-0.0122,2026-09-05T14:50:56.640773
xgboost,v1,HOSP_C,B_POSITIVE,RBC,24h,0.7945,1.0151,0.2968,-0.0002,2026-09-05T14:50:56.640773
seasonal_naive,v1,HOSP_C,B_POSITIVE,WHOLE_BLOOD,24h,1.4573,1.8725,0.8659,0.0549,2026-09-05T14:50:56.664444
xgboost,v1,HOSP_C,B_POSITIVE,WHOLE_BLOOD,24h,0.7838,0.9481,0.4657,-0.081,2026-09-05T14:50:56.664444
seasonal_naive,v1,HOSP_C,O_NEGATIVE,PLASMA,24h,1.1707,1.5342,0.9846,0.0,2026-09-05T14:50:56.687011
xgboost,v1,HOSP_C,O_NEGATIVE,PLASMA,24h,0.7811,0.9611,0.6569,0.0304,2026-09-05T14:50:56.687011
seasonal_naive,v1,HOSP_C,O_NEGATIVE,PLATELETS,24h,1.1768,1.4588,0.8853,-0.0915,2026-09-05T14:50:56.702031
xgboost,v1,HOSP_C,O_NEGATIVE,PLATELETS,24h,0.7807,0.9182,0.5873,-0.0775,2026-09-05T14:50:56.702031
seasonal_naive,v1,HOSP_C,O_NEGATIVE,RBC,24h,1.378,1.7635,0.9076,0.0732,2026-09-05T14:50:56.724478
xgboost,v1,HOSP_C,O_NEGATIVE,RBC,24h,0.769,0.9676,0.5065,0.0782,2026-09-05T14:50:56.724478
seasonal_naive,v1,HOSP_C,O_NEGATIVE,WHOLE_BLOOD,24h,1.1098,1.4399,0.9055,-0.0244,2026-09-05T14:50:56.836755
xgboost,v1,HOSP_C,O_NEGATIVE,WHOLE_BLOOD,24h,0.6729,0.8082,0.549,-0.0548,2026-09-05T14:50:56.836755
seasonal_naive,v1,HOSP_C,O_POSITIVE,PLASMA,24h,1.561,1.9662,0.3601,0.0488,2026-09-05T14:50:56.860301
xgboost,v1,HOSP_C,O_POSITIVE,PLASMA,24h,0.916,1.1135,0.2113,-0.014,2026-09-05T14:50:56.860301
seasonal_naive,v1,HOSP_C,O_POSITIVE,PLATELETS,24h,1.7622,2.2806,0.5453,0.0305,2026-09-05T14:50:56.886123
xgboost,v1,HOSP_C,O_POSITIVE,PLATELETS,24h,0.9078,1.1154,0.2809,-0.0139,2026-09-05T14:50:56.886123
seasonal_naive,v1,HOSP_C,O_POSITIVE,RBC,24h,1.3659,1.753,0.1615,0.0732,2026-09-05T14:50:56.907775
xgboost,v1,HOSP_C,O_POSITIVE,RBC,24h,0.7914,0.9847,0.0936,-0.106,2026-09-05T14:50:56.907775
seasonal_naive,v1,HOSP_C,O_POSITIVE,WHOLE_BLOOD,24h,1.2256,1.6472,0.436,-0.0549,2026-09-05T14:50:56.927252
xgboost,v1,HOSP_C,O_POSITIVE,WHOLE_BLOOD,24h,0.8524,1.0365,0.3032,0.0666,2026-09-05T14:50:56.927252
seasonal_naive,v1,HOSP_D,AB_NEGATIVE,PLASMA,24h,0.8171,1.1423,1.2642,0.0,2026-09-05T14:50:56.991256
xgboost,v1,HOSP_D,AB_NEGATIVE,PLASMA,24h,0.6263,0.7316,0.969,0.1083,2026-09-05T14:50:56.991256
seasonal_naive,v1,HOSP_D,AB_NEGATIVE,PLATELETS,24h,0.8902,1.2247,1.2167,0.0122,2026-09-05T14:50:57.058656
xgboost,v1,HOSP_D,AB_NEGATIVE,PLATELETS,24h,0.6591,0.7824,0.9008,0.0318,2026-09-05T14:50:57.058656
seasonal_naive,v1,HOSP_D,AB_NEGATIVE,RBC,24h,0.9268,1.2736,1.1176,0.061,2026-09-05T14:50:57.094101
xgboost,v1,HOSP_D,AB_NEGATIVE,RBC,24h,0.7059,0.8436,0.8513,0.1035,2026-09-05T14:50:57.094101
seasonal_naive,v1,HOSP_D,AB_NEGATIVE,WHOLE_BLOOD,24h,1.0427,1.442,1.0118,0.0061,2026-09-05T14:50:57.118265
xgboost,v1,HOSP_D,AB_NEGATIVE,WHOLE_BLOOD,24h,0.7301,0.9016,0.7085,-0.1148,2026-09-05T14:50:57.118265
seasonal_naive,v1,HOSP_D,AB_POSITIVE,PLASMA,24h,1.0671,1.4713,1.306,0.0061,2026-09-05T14:50:57.138432
xgboost,v1,HOSP_D,AB_POSITIVE,PLASMA,24h,0.7125,0.8641,0.872,0.0829,2026-09-05T14:50:57.138432
seasonal_naive,v1,HOSP_D,AB_POSITIVE,PLATELETS,24h,1.0427,1.4546,1.1104,-0.0061,2026-09-05T14:50:57.157924
xgboost,v1,HOSP_D,AB_POSITIVE,PLATELETS,24h,0.6963,0.8498,0.7416,-0.0104,2026-09-05T14:50:57.157924
seasonal_naive,v1,HOSP_D,AB_POSITIVE,RBC,24h,1.2744,1.6398,0.8327,-0.0305,2026-09-05T14:50:57.182148
xgboost,v1,HOSP_D,AB_POSITIVE,RBC,24h,0.7637,0.9633,0.499,-0.1168,2026-09-05T14:50:57.182148
seasonal_naive,v1,HOSP_D,AB_POSITIVE,WHOLE_BLOOD,24h,1.2134,1.606,1.2061,0.0793,2026-09-05T14:50:57.234725
xgboost,v1,HOSP_D,AB_POSITIVE,WHOLE_BLOOD,24h,0.7382,0.891,0.7337,-0.0484,2026-09-05T14:50:57.234725
seasonal_naive,v1,HOSP_D,A_NEGATIVE,PLASMA,24h,0.8963,1.2518,1.0068,-0.0427,2026-09-05T14:50:57.276565
xgboost,v1,HOSP_D,A_NEGATIVE,PLASMA,24h,0.6946,0.8422,0.7802,0.0765,2026-09-05T14:50:57.276565
seasonal_naive,v1,HOSP_D,A_NEGATIVE,PLATELETS,24h,1.2012,1.6509,1.0423,-0.0061,2026-09-05T14:50:57.313856
xgboost,v1,HOSP_D,A_NEGATIVE,PLATELETS,24h,0.7327,0.8865,0.6358,-0.0481,2026-09-05T14:50:57.313856
seasonal_naive,v1,HOSP_D,A_NEGATIVE,RBC,24h,1.3293,1.6857,0.9864,0.0122,2026-09-05T14:50:57.346062
xgboost,v1,HOSP_D,A_NEGATIVE,RBC,24h,0.7219,0.9017,0.5357,0.0248,2026-09-05T14:50:57.346062
seasonal_naive,v1,HOSP_D,A_NEGATIVE,WHOLE_BLOOD,24h,0.9695,1.3136,1.1197,0.0183,2026-09-05T14:50:57.367699
xgboost,v1,HOSP_D,A_NEGATIVE,WHOLE_BLOOD,24h,0.7081,0.847,0.8178,0.0513,2026-09-05T14:50:57.367699
seasonal_naive,v1,HOSP_D,A_POSITIVE,PLASMA,24h,1.4939,1.8983,0.5213,0.0061,2026-09-05T14:50:57.396784
xgboost,v1,HOSP_D,A_POSITIVE,PLASMA,24h,0.8379,1.0502,0.2924,-0.0556,2026-09-05T14:50:57.396784
seasonal_naive,v1,HOSP_D,A_POSITIVE,PLATELETS,24h,1.372,1.7583,0.7353,0.0427,2026-09-05T14:50:57.420727
xgboost,v1,HOSP_D,A_POSITIVE,PLATELETS,24h,0.8583,1.0356,0.46,0.0807,2026-09-05T14:50:57.420727
seasonal_naive,v1,HOSP_D,A_POSITIVE,RBC,24h,1.4207,1.7789,0.2983,0.0793,2026-09-05T14:50:57.443941
xgboost,v1,HOSP_D,A_POSITIVE,RBC,24h,0.898,1.1143,0.1886,0.0041,2026-09-05T14:50:57.443941
seasonal_naive,v1,HOSP_D,A_POSITIVE,WHOLE_BLOOD,24h,1.2012,1.5676,0.6254,0.0549,2026-09-05T14:50:57.575858
xgboost,v1,HOSP_D,A_POSITIVE,WHOLE_BLOOD,24h,0.7624,0.9538,0.397,0.0102,2026-09-05T14:50:57.575858
seasonal_naive,v1,HOSP_D,B_NEGATIVE,PLASMA,24h,0.878,1.1945,1.0992,-0.0122,2026-09-05T14:50:57.610951
xgboost,v1,HOSP_D,B_NEGATIVE,PLASMA,24h,0.6479,0.7718,0.8111,0.0518,2026-09-05T14:50:57.610951
seasonal_naive,v1,HOSP_D,B_NEGATIVE,PLATELETS,24h,1.1768,1.5081,1.0782,-0.0427,2026-09-05T14:50:57.634612
xgboost,v1,HOSP_D,B_NEGATIVE,PLATELETS,24h,0.697,0.8712,0.6386,-0.1299,2026-09-05T14:50:57.634612
seasonal_naive,v1,HOSP_D,B_NEGATIVE,RBC,24h,1.1524,1.463,1.2945,0.0549,2026-09-05T14:50:57.658633
xgboost,v1,HOSP_D,B_NEGATIVE,RBC,24h,0.7121,0.8577,0.7999,0.1038,2026-09-05T14:50:57.658633
seasonal_naive,v1,HOSP_D,B_NEGATIVE,WHOLE_BLOOD,24h,1.0915,1.4918,1.0347,0.0061,2026-09-05T14:50:57.780740
xgboost,v1,HOSP_D,B_NEGATIVE,WHOLE_BLOOD,24h,0.7289,0.9192,0.691,-0.1065,2026-09-05T14:50:57.780740
seasonal_naive,v1,HOSP_D,B_POSITIVE,PLASMA,24h,1.2805,1.6305,0.6562,0.0,2026-09-05T14:50:57.804448
xgboost,v1,HOSP_D,B_POSITIVE,PLASMA,24h,0.7275,0.9335,0.3728,-0.0846,2026-09-05T14:50:57.804448
seasonal_naive,v1,HOSP_D,B_POSITIVE,PLATELETS,24h,1.2256,1.5598,0.9306,0.0549,2026-09-05T14:50:57.827516
xgboost,v1,HOSP_D,B_POSITIVE,PLATELETS,24h,0.7194,0.8824,0.5462,0.0319,2026-09-05T14:50:57.827516
seasonal_naive,v1,HOSP_D,B_POSITIVE,RBC,24h,1.6402,1.9615,0.6466,-0.0305,2026-09-05T14:50:57.853297
xgboost,v1,HOSP_D,B_POSITIVE,RBC,24h,0.8876,1.0924,0.3499,-0.0636,2026-09-05T14:50:57.853297
seasonal_naive,v1,HOSP_D,B_POSITIVE,WHOLE_BLOOD,24h,1.0915,1.4462,0.8775,-0.0305,2026-09-05T14:50:57.875958
xgboost,v1,HOSP_D,B_POSITIVE,WHOLE_BLOOD,24h,0.7542,0.9149,0.6063,0.0114,2026-09-05T14:50:57.875958
seasonal_naive,v1,HOSP_D,O_NEGATIVE,PLASMA,24h,1.311,1.6875,0.9188,0.0671,2026-09-05T14:50:57.900073
xgboost,v1,HOSP_D,O_NEGATIVE,PLASMA,24h,0.7735,0.9558,0.5421,-0.0606,2026-09-05T14:50:57.900073
seasonal_naive,v1,HOSP_D,O_NEGATIVE,PLATELETS,24h,1.0915,1.4837,1.0287,-0.0061,2026-09-05T14:50:58.022969
xgboost,v1,HOSP_D,O_NEGATIVE,PLATELETS,24h,0.6917,0.8614,0.652,0.0168,2026-09-05T14:50:58.022969
seasonal_naive,v1,HOSP_D,O_NEGATIVE,RBC,24h,1.1341,1.4939,0.5813,0.0,2026-09-05T14:50:58.049391
xgboost,v1,HOSP_D,O_NEGATIVE,RBC,24h,0.7592,0.9383,0.3891,-0.0945,2026-09-05T14:50:58.049391
seasonal_naive,v1,HOSP_D,O_NEGATIVE,WHOLE_BLOOD,24h,0.9878,1.3113,1.1739,-0.0122,2026-09-05T14:50:58.074263
xgboost,v1,HOSP_D,O_NEGATIVE,WHOLE_BLOOD,24h,0.6371,0.7653,0.7571,0.0801,2026-09-05T14:50:58.074263
seasonal_naive,v1,HOSP_D,O_POSITIVE,PLASMA,24h,1.4573,1.8429,0.4092,0.0427,2026-09-05T14:50:58.104989
xgboost,v1,HOSP_D,O_POSITIVE,PLASMA,24h,0.8741,1.0906,0.2455,-0.0444,2026-09-05T14:50:58.104989
seasonal_naive,v1,HOSP_D,O_POSITIVE,PLATELETS,24h,1.4695,1.8163,0.5332,-0.0305,2026-09-05T14:50:58.126115
xgboost,v1,HOSP_D,O_POSITIVE,PLATELETS,24h,0.9064,1.1017,0.3289,0.0111,2026-09-05T14:50:58.126115
seasonal_naive,v1,HOSP_D,O_POSITIVE,RBC,24h,1.3293,1.6857,0.2047,0.0976,2026-09-05T14:50:58.145179
xgboost,v1,HOSP_D,O_POSITIVE,RBC,24h,0.8241,1.0339,0.1269,-0.0048,2026-09-05T14:50:58.145179
seasonal_naive,v1,HOSP_D,O_POSITIVE,WHOLE_BLOOD,24h,1.3902,1.8179,0.5112,0.0732,2026-09-05T14:50:58.165727
xgboost,v1,HOSP_D,O_POSITIVE,WHOLE_BLOOD,24h,0.8209,1.0271,0.3018,-0.0537,2026-09-05T14:50:58.165727
seasonal_naive,v1,HOSP_E,AB_NEGATIVE,PLASMA,24h,1.0915,1.399,1.3769,0.0061,2026-09-05T14:50:58.292479
