model_name,model_version,organization_id,blood_group,component_type,forecast_horizon,mae,rmse,wape,bias,trained_at
xgboost,v1,BB_A,B_NEGATIVE,WHOLE_BLOOD,24h,0.6205,0.7466,0.7768,0.0734,2026-09-05T14:50:50.119100
seasonal_naive,v1,BB_A,B_POSITIVE,PLASMA,24h,1.4329,1.7617,0.4116,-0.0183,2026-09-05T14:50:50.238590
xgboost,v1,BB_A,B_POSITIVE,PLASMA,24h,0.8127,1.0487,0.2334,-0.0756,2026-09-05T14:50:50.238590
seasonal_naive,v1,BB_A,B_POSITIVE,PLATELETS,24h,1.4024,1.7738,0.6745,0.0488,2026-09-05T14:50:50.267711
xgboost,v1,BB_A,B_POSITIVE,PLATELETS,24h,0.8358,1.0721,0.4019,0.0558,2026-09-05T14:50:50.267711
seasonal_naive,v1,BB_A,B_POSITIVE,RBC,24h,1.8415,2.3839,0.3126,-0.0244,2026-09-05T14:50:50.297067
xgboost,v1,BB_A,B_POSITIVE,RBC,24h,1.0129,1.2442,0.172,-0.0845,2026-09-05T14:50:50.297067
seasonal_naive,v1,BB_A,B_POSITIVE,WHOLE_BLOOD,24h,1.2866,1.6472,0.743,0.0549,2026-09-05T14:50:50.414297
xgboost,v1,BB_A,B_POSITIVE,WHOLE_BLOOD,24h,0.8305,1.0152,0.4796,-0.0194,2026-09-05T14:50:50.414297
seasonal_naive,v1,BB_A,O_NEGATIVE,PLASMA,24h,1.6524,2.0586,0.809,0.0549,2026-09-05T14:50:50.451309
xgboost,v1,BB_A,O_NEGATIVE,PLASMA,24h,0.8506,1.0685,0.4164,-0.05,2026-09-05T14:50:50.451309
seasonal_naive,v1,BB_A,O_NEGATIVE,PLATELETS,24h,1.1707,1.5342,0.8136,0.0244,2026-09-05T14:50:50.481641
xgboost,v1,BB_A,O_NEGATIVE,PLATELETS,24h,0.7497,0.9412,0.521,0.0381,2026-09-05T14:50:50.481641
seasonal_naive,v1,BB_A,O_NEGATIVE,RBC,24h,1.4329,1.8919,0.4476,0.0915,2026-09-05T14:50:50.504174
xgboost,v1,BB_A,O_NEGATIVE,RBC,24h,0.8743,1.0653,0.2731,-0.0717,2026-09-05T14:50:50.504174
seasonal_naive,v1,BB_A,O_NEGATIVE,WHOLE_BLOOD,24h,1.2988,1.7548,1.139,-0.0183,2026-09-05T14:50:50.530333
xgboost,v1,BB_A,O_NEGATIVE,WHOLE_BLOOD,24h,0.7712,0.9165,0.6763,0.0799,2026-09-05T14:50:50.530333
seasonal_naive,v1,BB_A,O_POSITIVE,PLASMA,24h,1.4756,1.9031,0.1582,0.0,2026-09-05T14:50:50.647991
xgboost,v1,BB_A,O_POSITIVE,PLASMA,24h,0.9215,1.1509,0.0988,-0.1831,2026-09-05T14:50:50.647991
seasonal_naive,v1,BB_A,O_POSITIVE,PLATELETS,24h,1.4634,1.8967,0.2258,0.0244,2026-09-05T14:50:50.679050
xgboost,v1,BB_A,O_POSITIVE,PLATELETS,24h,0.7735,0.9656,0.1193,-0.0233,2026-09-05T14:50:50.679050
seasonal_naive,v1,BB_A,O_POSITIVE,RBC,24h,1.9207,2.4157,0.1191,0.128,2026-09-05T14:50:50.722446
xgboost,v1,BB_A,O_POSITIVE,RBC,24h,1.1659,1.4962,0.0723,0.0149,2026-09-05T14:50:50.722446
seasonal_naive,v1,BB_A,O_POSITIVE,WHOLE_BLOOD,24h,1.5305,1.9143,0.3617,-0.0549,2026-09-05T14:50:50.836519
xgboost,v1,BB_A,O_POSITIVE,WHOLE_BLOOD,24h,0.8429,1.0731,0.1992,-0.1118,2026-09-05T14:50:50.836519
seasonal_naive,v1,BB_B,AB_NEGATIVE,PLASMA,24h,1.1585,1.546,1.1243,-0.0488,2026-09-05T14:50:50.981264
xgboost,v1,BB_B,AB_NEGATIVE,PLASMA,24h,0.7263,0.8951,0.7048,-0.0366,2026-09-05T14:50:50.981264
seasonal_naive,v1,BB_B,AB_NEGATIVE,PLATELETS,24h,1.0427,1.3548,1.1176,-0.0305,2026-09-05T14:50:51.003546
xgboost,v1,BB_B,AB_NEGATIVE,PLATELETS,24h,0.6924,0.8266,0.7421,-0.0445,2026-09-05T14:50:51.003546
seasonal_naive,v1,BB_B,AB_NEGATIVE,RBC,24h,0.9756,1.2736,0.9816,0.0,2026-09-05T14:50:51.103327
xgboost,v1,BB_B,AB_NEGATIVE,RBC,24h,0.6962,0.8555,0.7005,0.0621,2026-09-05T14:50:51.103327
seasonal_naive,v1,BB_B,AB_NEGATIVE,WHOLE_BLOOD,24h,0.9512,1.3343,1.0263,0.061,2026-09-05T14:50:51.134362
xgboost,v1,BB_B,AB_NEGATIVE,WHOLE_BLOOD,24h,0.6843,0.8368,0.7383,-0.0345,2026-09-05T14:50:51.134362
seasonal_naive,v1,BB_B,AB_POSITIVE,PLASMA,24h,1.0488,1.357,0.839,0.0122,2026-09-05T14:50:51.159232
xgboost,v1,BB_B,AB_POSITIVE,PLASMA,24h,0.6839,0.822,0.5471,-0.0729,2026-09-05T14:50:51.159232
seasonal_naive,v1,BB_B,AB_POSITIVE,PLATELETS,24h,1.1951,1.6675,1.1329,-0.0732,2026-09-05T14:50:51.182133
xgboost,v1,BB_B,AB_POSITIVE,PLATELETS,24h,0.7661,0.9336,0.7263,0.0035,2026-09-05T14:50:51.182133
seasonal_naive,v1,BB_B,AB_POSITIVE,RBC,24h,1.2561,1.5695,0.8207,0.0,2026-09-05T14:50:51.204333
xgboost,v1,BB_B,AB_POSITIVE,RBC,24h,0.7496,0.9313,0.4898,-0.0136,2026-09-05T14:50:51.204333
seasonal_naive,v1,BB_B,AB_POSITIVE,WHOLE_BLOOD,24h,1.1524,1.5041,1.3125,0.0549,2026-09-05T14:50:51.251391
xgboost,v1,BB_B,AB_POSITIVE,WHOLE_BLOOD,24h,0.6922,0.8335,0.7883,0.0476,2026-09-05T14:50:51.251391
seasonal_naive,v1,BB_B,A_NEGATIVE,PLASMA,24h,0.9024,1.2591,0.8315,-0.0244,2026-09-05T14:50:51.378379
xgboost,v1,BB_B,A_NEGATIVE,PLASMA,24h,0.6953,0.871,0.6407,0.062,2026-09-05T14:50:51.378379
seasonal_naive,v1,BB_B,A_NEGATIVE,PLATELETS,24h,1.0854,1.502,1.1634,-0.061,2026-09-05T14:50:51.451390
xgboost,v1,BB_B,A_NEGATIVE,PLATELETS,24h,0.7323,0.8796,0.785,0.0919,2026-09-05T14:50:51.451390
seasonal_naive,v1,BB_B,A_NEGATIVE,RBC,24h,1.4146,1.7461,0.7389,0.0,2026-09-05T14:50:51.577748
xgboost,v1,BB_B,A_NEGATIVE,RBC,24h,0.7843,0.9592,0.4096,-0.0297,2026-09-05T14:50:51.577748
seasonal_naive,v1,BB_B,A_NEGATIVE,WHOLE_BLOOD,24h,0.9207,1.2807,1.3246,0.0915,2026-09-05T14:50:51.747549
xgboost,v1,BB_B,A_NEGATIVE,WHOLE_BLOOD,24h,0.6719,0.7759,0.9666,0.1814,2026-09-05T14:50:51.747549
seasonal_naive,v1,BB_B,A_POSITIVE,PLASMA,24h,1.4146,1.7108,0.3122,-0.0732,2026-09-05T14:50:51.866732
xgboost,v1,BB_B,A_POSITIVE,PLASMA,24h,0.788,1.0141,0.1739,-0.084,2026-09-05T14:50:51.866732
seasonal_naive,v1,BB_B,A_POSITIVE,PLATELETS,24h,1.811,2.3125,0.5086,-0.0793,2026-09-05T14:50:51.896822
xgboost,v1,BB_B,A_POSITIVE,PLATELETS,24h,0.9023,1.1485,0.2534,-0.0191,2026-09-05T14:50:51.896822
seasonal_naive,v1,BB_B,A_POSITIVE,RBC,24h,1.5122,1.8903,0.1742,-0.1098,2026-09-05T14:50:51.926213
xgboost,v1,BB_B,A_POSITIVE,RBC,24h,0.8081,1.0262,0.0931,-0.0839,2026-09-05T14:50:51.926213
seasonal_naive,v1,BB_B,A_POSITIVE,WHOLE_BLOOD,24h,1.3232,1.6839,0.6045,0.0793,2026-09-05T14:50:51.954888
xgboost,v1,BB_B,A_POSITIVE,WHOLE_BLOOD,24h,0.8421,1.0384,0.3847,0.0178,2026-09-05T14:50:51.954888
seasonal_naive,v1,BB_B,B_NEGATIVE,PLASMA,24h,1.0793,1.4034,1.1879,-0.0061,2026-09-05T14:50:51.981789
xgboost,v1,BB_B,B_NEGATIVE,PLASMA,24h,0.7001,0.8629,0.7706,0.0549,2026-09-05T14:50:51.981789
seasonal_naive,v1,BB_B,B_NEGATIVE,PLATELETS,24h,1.0732,1.4185,1.0732,-0.0244,2026-09-05T14:50:52.097538
xgboost,v1,BB_B,B_NEGATIVE,PLATELETS,24h,0.7236,0.8611,0.7236,-0.0375,2026-09-05T14:50:52.097538
seasonal_naive,v1,BB_B,B_NEGATIVE,RBC,24h,1.4939,1.8822,0.9496,0.0671,2026-09-05T14:50:52.125975
xgboost,v1,BB_B,B_NEGATIVE,RBC,24h,0.7574,0.9322,0.4814,-0.0409,2026-09-05T14:50:52.125975
